PaisAccidente,OperadorAerolinea,Fecha,LugarAccidente,TipoAeronave
 Suriname,Blue Wing Airlines,2008-04-03,Lawa- Suriname,Antonov An-28
 Suriname,Blue Wings Airlines,2010-05-15,Near Poeketi- Suriname,Antonv An-28
 Indonesia,BOAC,1941-12-29,Sabang- Indonesia,Short S-23 Empire Flying Boat
 Kenya,BOAC,1944-11-29,Nairobi- Kenya,Lockheed 18 LodeStar
 Malta,BOAC,1945-10-24,Valetta- Malta,Douglas C-47 Skytrain (DC-3)
 Malta,BOAC,1946-08-14,Malta-Luqa- Malta,Douglas C-47A
 England,BOAC,1958-12-24,Winkton- England,Bristol 175 Britannia 312
 Bavaria,Bodensee Aerolloyd,1929-06-29,Near Lindau- Bavaria- Germany,Domier Delphin III (flying boat)
 Nebraska,Boeing Air Transport,1928-02-26,Marquette- Nebraska,Boeing 40
 Wyoming,Boeing Air Transport,1928-04-17,Federal- Wyoming,Boeing 40
 Nebraska,Boeing Air Transport,1930-01-10,Brawnson- Nebraska,Boeing 95
 Utah,Boeing Air Transport,1931-11-23,Salt Lake City- Utah,Boeing 40
 California,Boeing Air Transport,1932-02-02,Rio Vista- California,Boeing 40
 Colorado,Boeing Air Transport,1932-12-14,Rocky Ridge- Colorado,Boeing 40
 Utah,Boeing Aircraft Company,1934-02-23,Near Salt Lake City- Utah,Boeing 247
 Washington,Boeing Aircraft Company,1939-03-18,Near Adler- Washington,Boeing 307 Stratoliner
 Alaska,Boeing KC-135E,1989-09-20,Fairbanks- Alaska,Military - U.S. Air Force
 Kansas,Bombardier Aerospace,2000-10-10,Wichita- Kansas,Canadair CL-600-2B16 Challenger 604
 Nevada,Bonanza Airlines,1964-11-15,Las Vegas- Nevada,Fairchild F-27A
,Bond Air Services Ltd.,2013-11-29,Glasgow Scotland,Eurocopter EC135 T2
 Scotland,Bond Offshore Helicopters,2009-04-01,Off Crimond- Scotland,Eurocopter AS 332L2 Super Puma 2
 Malaysia,Borneo Airways,1997-09-06,Near Miri- Malaysia,Dornier 228-212
 Indonesia,Bourag Indonesia Airlines,1995-08-09,Near Kaimana- Indonesia,Hawker Siddeley HS-748 2A
 Indonesia,Bouraq Indonesia Airlines,1980-08-26,Near Jakarta- Indonesia,Vickers Viscount 812
 Indonesia,Bouraq Indonesia Airlines,1993-01-09,Surabaya- Indonesia,Hawker Siddeley HS-748-234
 Norway,Braathens,1956-11-07,Hommelfjell- Norway,de Havilland DH-114 Heron 2B
 Norway,Braathens,1972-12-23,Skaugum- Norway,Fokker F-28 Fellowship 1000
 Alaska,Branch River Air Service,2010-08-21,Off Kaminshak Bay- Alaska,de Havilland Canada DHC-2 Beaver
 Illinois,Braniff Airlines,1931-07-12,Chicago- Illinois,Lockheed Vega
 Missouri,Braniff Airlines,1934-12-08,Columbia- Missouri,Lockheed Vega 5C
 Texas,Braniff Airlines,1935-11-09,Near Fort Worth- Texas,Lockheed Vega
 Oklahoma,Braniff Airlines,1939-03-26,Oklahoma City- Oklahoma,Douglas DC-2-112
 Iowa,Braniff Airlines,1954-08-22,Near Mason City- Iowa,Douglas DC-3
 Illinois,Braniff Airlines,1955-07-17,Chicago- Illinois,Convair CV-340-32
 Florida,Braniff Airlines,1958-03-25,Miami- Florida,Douglas DC-7-C
 Texas,Braniff Airlines,1959-09-29,Buffalo- Texas,Lockheed 188A Electra
 Nebraska,Braniff Airlines,1966-08-06,Near Falls City- Nebraska,BAC One-Eleven 203AE
 Texas,Braniff Airlines,1968-05-03,Near Dawson- Texas,Lockheed L188A Electra
 Illinois,Braniff Airways,1931-12-05,Kewanee- Illinois,Lockheed Vega 5
 Texas,Braniff Airways,1936-12-23,Near Dallas- Texas,Lockheed 10 Electra
 England,Bristol Aeroplane Co.,1957-11-06,Bristol- England,Bristol Britannia 175
 Dorset,Bristop Aeroplane Company,1949-05-04,Near Portland- Dorset- England,Bristol 170 Freighter 31 Mark II
 Brunei,Bristow Helicopters,1981-12-16,Kuala Belait- Brunei,Aerospatiale Puma
 Nigeria,Bristow Helicopters,1995-04-23,Lagos- Nigeria,de Havilland Canada DHC-6 Twin Otter 300
 Norfork,Bristow Helicopters,2002-07-16,Off Cromer- Norfork- England,Sikorsky S-76A
 France,Brit Air,2003-06-22,Near Brest- France,Canadair CRJ-100ER
 Slovenia,Britannia Airways,1966-09-01,Near Ljubljana- Slovenia- Yugoslavia,Bristol Britannia 102
 Spain,Britannia Airways,1999-09-14,Girona- Spain,Boeing 757-204
 England,Britavia,1956-11-05,Blackbushe- England,Handley Page HP-1 Hermes
 England,British Aircraft Corporation,1963-10-22,Near Tisbury- England,BAC One-Eleven 200AB
 England,British Airtours,1985-08-22,Manchester- England,Boeing B-737-236
 Germany,British Airways,1936-08-12,Altenkirchen- Germany,De Havilland DH-86
 England,British Airways,1936-11-19,London- England,Fokker F-XII
 England,British Airways,1938-11-02,Somerset- England,Lockheed 14 Electra
 Denmark,British Airways,1939-08-15,Off Copenhagen- Denmark,Lockheed 10 Electra
 England,British Airways,1939-11-20,Gosport- England,Airspeed Oxford
,British Airways,1939-12-21,Off Malta-Luqa,Lockheed 14 Super Electra
 Indonesia,British Airways,1982-06-24,Mount Galunggung- Indonesia,Boeing B-747
 England,British Airways,1990-06-10,Oxfordshire- England,BAC One-Eleven 528FL
 England,British Airways,2008-01-17,London- England,Boeing 777-236ER
 UK,British Airways Helicopters,1983-07-16,Off Scilly Islands- UK,Sikorsky S-61N-II
 BC,British Columbia Airways,1928-08-25,Near Port Townsend- BC- Canada,Ford 4-AT-B Tri Motor
 California,British Commonwealth Pacific Airlines,1953-10-29,Near Half Moon Bay- California,Douglas DC-6
 Austria,British Eagle International Airlines,1964-02-29,Near Innsbruck- Austria,Bristol Britannia 312
 Germany,British Eagle International Airlines,1968-08-09,Pfaffenhofen- Germany,Vickers Viscount 739A
 Norway,British European Airways,1946-08-07,Oslo- Norway,Douglas C-47A-10-DK
 England,British European Airways,1948-01-06,Ruislip- England,Vickers 610 Viking 1B
 England,British European Airways,1949-08-19,Near Oldham- England,Douglas DC-3
 England,British European Airways,1950-04-13,Near Hastings- England,Vickers 610 Viking 1B
 England,British European Airways,1950-10-17,London- England,Douglas C-47A
 England,British European Airways,1950-10-31,London Heathrow- England,Vickers 610 Viking-1B
 Northern Ireland,British European Airways,1953-01-05,Belfast- Northern Ireland,Vickers Viking 610-1B
 England,British European Airways,1957-03-14,Manchester- England,Vickers Viscount 701
 Scotland,British European Airways,1957-09-28,Islay-Glenegedale Airport- Scotland,de Havilland DH-114 Heron
 Ireland,British European Airways,1957-10-23,Belfast- Ireland,Vickers 802 Viscount
 Germany,British European Airways,1958-02-06,Munich- Germany,Airspeed Ambassador AS-57
 France,British European Airways,1958-05-16,Chatenoy- France,Douglas C-47A
 Italy,British European Airways,1958-10-22,Anzio- Italy,Vickers Viscount 701C
 Turkey,British European Airways,1961-12-21,Ankara- Turkey,de Havilland Comet 4B
 England,British European Airways,1965-10-27,London- England,Vickers Vanguard 951
 Greece,British European Airways,1967-10-12,Off Rhodes- Greece,de Havilland Comet 4B
 West Vlaanderen,British European Airways,1971-10-02,Near Aarsele- West Vlaanderen- Belgium,Vickers Vanguard 951
 Staines,British European Airways,1972-06-18,London Heathrow- Staines- Surrey- England,Hawker Siddeley Trident 1C
 Scotland,British European Airways,1973-01-19,Near Glasgow- Scotland,Vickers 802 Viscount
 Shetlands,British International Helicopters,1986-11-06,Off Sumburgh Head- Shetlands- Scotland,Boeing-Vertol Chinook
 Cheshire,British Midland Airways,1967-06-04,Stockport- Cheshire- England,Canadair C-4 Argonaut
 England,British Midland Airways,1989-01-08,Leicestershire- England,Boeing B-737-4Y0
 Scotland,British Overseas Airways,1940-04-22,Near Loch Lomond- Scotland,Lockheed 14 Super Electra
 Argyll,British Overseas Airways,1941-09-01,Campbeltown- Argyll- Scotland,Consolidated 32-2 Liberator I
 near Plymouth,British Overseas Airways,1942-02-15,English Channel- near Plymouth- England,Consolidated Liberator
,British Overseas Airways,1942-02-28,Indian Ocean,Short S-23 (flying boat)
,British Overseas Airways,1942-09-24,Off West Africa,Short S-30 (flying boat)
 Marine Base,British Overseas Airways,1943-01-09,Near Cabo Ruivo- Marine Base- Lisbon- Portugal,Short S-26 (flying boat)
 Newfoundland,British Overseas Airways,1943-02-09,Near Gander- Newfoundland,Consolidated 32-3 Liberator II
,British Overseas Airways,1943-04-04,North Sea,Lockheed C-56B Lodestar
,British Overseas Airways,1943-06-01,Off the coast of France,Douglas DC-3
 Sudan,British Overseas Airways,1943-06-16,Khartoum- Sudan,Lockheed Hudson VI
 Sudan,British Overseas Airways,1943-06-30,Khartoum- Sudan,Lockheed Hudson VI
 Ireland,British Overseas Airways,1943-07-28,Brandon Head- Ireland,Short S-25 Sunderland 3 (flying boat)
,British Overseas Airways,1943-11-05,Eastern Libya,Short Sunderland 3
 Scotland,British Overseas Airways,1943-12-17,Off Montrose- Scotland,Lockheed 18-56 Lodestar
 Västergötland,British Overseas Airways,1944-08-29,Near Lidköping- Västergötland- Swden,Lockheed 18-56 Loadstar
 PE,British Overseas Airways,1946-02-21,Charlottetown- PE- Canada,Consolidated 32-2 Liberator II
 France,British Overseas Airways,1946-08-20,Rouen- France,Avro 691 Lancastrian 1
 England,British Overseas Airways,1947-01-11,Near Lympne- England,Douglas C-47A-1-DK
 Iran,British Overseas Airways,1947-07-16,Az-Zubair- Iran,Avro 685 York
 Persian Gulf,British Overseas Airways,1947-08-23,Bahrain- Persian Gulf,Short Sandringham 5 (flying boat)
 Mauritania,British Overseas Airways,1952-05-26,Near Atar- Mauritania,Handley Page HP-81 Hermes IV
 West Bengal,British Overseas Airways,1953-05-02,Near Jalalogori- West Bengal- India,de Havilland DH106 Comet 1
 Italy,British Overseas Airways,1954-01-10,Off Elba- Italy,de Havilland DH106 Comet 1
 Singapore,British Overseas Airways,1954-03-13,Kallang Airport- Singapore,Lockheed 749A-79-33 Constellation
 Ayrshire,British Overseas Airways,1954-12-25,Prestwick- Ayrshire- Scotland,Boeing B377-10-28 Stratocruiser
 Libya,British Overseas Airways,1955-09-22,Idris- Libya,Canadair C-4 Argonaut
 Nigeria,British Overseas Airways,1956-06-24,Kano- Nigeria,Canadair C-4 Argonaut
 Mt. Fuji,British Overseas Airways,1966-03-05,Near Gotemba City- Mt. Fuji- Japan,Boeing B-707-436
 London,British Overseas Airways,1968-04-08,Heathrow Airport- London- England,Boeing B-707-465
 Cocos Islands,British Overseas Airways /Qantas,1946-03-23,Off Ceylon- Cocos Islands- Indian Ocean,Avro 691 Lancastrian 1
 Gambia,British South American Airways,1946-09-07,Bathurst- Gambia,Avro 685 York I
 Senegal,British South American Airways,1947-04-13,Off Dakar- Senegal,Avro 685 York I
 Argentina,British South American Airways,1947-08-02,Andes- Argentina,Avro 691 Lancastrian 3
 NE of Bermuda,British South American Airways,1948-01-30,Atlantic Ocean- NE of Bermuda,Avro 688 Tudor I
 Brazil,British South American Airways,1949-01-05,Caravelas Bay- Brazil,Avro 685 York 1
 off Bermuda,British South American Airways,1949-01-17,Atlantic Ocean- off Bermuda,Avro 688 Tudor 4B
 Channel Islands,British United Airways,1965-04-14,Jersey- Channel Islands- UK,Douglas C-47B
 England,British World Airways,1994-02-25,East Midlands- England,Vickers 813 Viscount
 Indiana,Britt Airways,1984-01-30,Terre Haute- Indiana,Swearingen SA.226TC Metro II
 Ohio,Bruning Aviation,1948-02-25,Columbus- Ohio,Douglas C-47A
 Nepal,Buddha Air,2011-09-25,Near Kathmandu- Nepal,Beechcraft 1900D
 British Columbia,Buffalo Narrows Airways,1996-05-09,Near Terrace- British Columbia- Canada,de Havilland Canada DHC-3 Otter
 Bulgaria,Bulair TABSO,1968-09-03,Near Burgas- Bulgaria,Ilyushin IL-18
 Florida,Burke Air Transport,1947-07-13,Melbourne- Florida,Douglas DC-3
 Kansas,Burlington Air Express,1987-04-13,Kansas City- Kansas,Boeing 707-351C
 Burma,Burma Airways,1972-08-16,Near Sandoway- Burma,Douglas DC-3 (C-47A-DK)
 Burma,Burma Airways,1977-09-08,Mt. Loi Hsam Hsao- Burma,de Havilland Canada DHC-6 Twin Otter 300
 Burma,Burma Airways,1978-03-25,Okaraba- Burma,Fokker F-27 Friendship 200
 Burma,Burma Airways,1978-08-26,Papun- Burma,de Havilland Canada DHC-6 Twin Otter 300
 Myanmar,Burma Airways,1978-10-03,Near Mandalay- Myanmar,Fokker F-27 Friendship 600
 Myanmar,Burma Airways,1982-08-12,Mindat- Myanmar,de Havilland Canada DHC-6 Twin Otter 300
 Myanmar,Burma Airways,1983-10-08,Near Lonkin- Myanmar,de Havilland Canada DHC-6 Twin Otter 300
 Myanmar,Burma Airways,1985-10-12,Putao- Myanmar,Fokker F-27 Friendship 600
 Burma,Burma Airways,1987-06-21,Heho- Burma,Fokker F-27 Friendship 200
 Myanmar,Burma Airways,1987-10-11,Near Pagan- Myanmar,Fokker F-27 Friendship 500
 Myanmar,Burma Airways,1989-02-03,Rangoon- Myanmar,Fokker F-27 Friendship 600
 Arizona,Business Air Connection,1996-02-05,St. Johns- Arizona,ConvairCV-440
 Texas,Business Jet Services,2004-11-22,Houston- Texas,Grumman Gulfstream G3
 Democratic Republic of Congo,Busy Bee Congo,2019-11-24,Goma- Democratic Republic of Congo,Dornier 228-201
 Oregon,Butler Aviation Inc.,1979-09-14,Near Klamath Falls- Oregon,Douglas DC-7
 England,By Air,1920-08-16,Bedford- England,Armstrong-Whitworth F-K-8
 China,CAAC,1976-01-21,Near Shanghai- China,Antonov AN-24
 China,CAAC,1979-03-14,Bejing- China,Hawker Siddeley Trident 2E
 Guangxi,CAAC,1982-04-26,Near Yangshuo- Guangxi- China,Hawker Siddeley Trident 2E
 China,CAAC,1982-12-24,Guangzhou- China,Ilyushin IL-18B
 China,CAAC,1983-09-14,Guilin- China,Hawker Siddeley Trident 2E / II-28
 China,CAAC,1985-01-18,Jinan- China,Antonov AN-24B
 China,CAAC,1986-12-15,Near Lanzhou- China,Antonov AN-24RV
 Hong Kong,CAAC,1988-08-31,Kowloon Bay- Hong Kong,Hawker Siddeley HS-121 Trident 2E
 Guinea,CAAK,1983-07-01,Labe- Guinea,Ilyushin IL-62M
 California,Cable Commuter,1968-11-23,Santa Ana- California,de Havilland Canada DHC-6 Twin Otter 200
 Cape Verde,Cabo Verde Airlines,1998-09-28,Praia- Cape Verde,de Havilland Canada DHC-6 Twin Otter 300
 Georgia,Calair,1989-06-29,Cartersville- Georgia,Dassault Falcon 20
 Cameroon,Caledonian Airways,1962-03-04,Douala- Cameroon,Douglas DC-7C
 California,California Air Freight,1959-01-14,Panther Peak- California,Curtiss C-46F
 California,California Air National Guard,1987-03-21,Mount San Gorgonio- California,F-4C Phantom jet fighter
 Alaska,California Aircraft,1959-12-17,Ketchikan- Alaska,Consolidated PBY-5A Catalina
 Bolivia,CAMBA,1979-12-12,Apolo- Bolivia,Martin 404
 Cambodia,Cambodia Air,1972-10-02,Kampot- Cambodia,Douglas DC-3
 Cambodia,Cambodia Air,1973-05-19,Svay Rieng- Cambodia,Douglas C-47A
 Khmer Republic,Cambodia Air,1974-06-27,Battambang- Khmer Republic,Boeing 307B-1 Stratoliner
 Cameroon,Cameroon Airlines,1981-10-31,Bafoussam- Cameroon,de Havilland Canada DHC-6 Twin Otter 300
 Cameroon,Cameroon Airlines,1984-08-30,Douala- Cameroon,Boeing B-737-2H7C
 Cameroon,Cameroon Airlines,1989-06-28,Yaounde- Cameroon,Hawker Siddeley HS-748-435 Srs. 2
 Cameroon,Cameroon Airlines,1995-12-03,Near Douala- Cameroon,Boeing B-737-2K9
 Romania,Campagnie France Roumaine,1923-08-27,Bucharest- Romania,Blériot Spad 46
 New Jersey,Canadian Colonial Airways,1930-04-18,Jersey City- New Jersey,Fairchild 71
 British Columbia,Canadian Pacific Air Lines,1942-12-20,Near Chilliwack- British Columbia- Canada,Lockheed 14-H2 Super Electra
 PQ,Canadian Pacific Air Lines,1949-09-09,Sault-aux-Cochons- PQ- Canada,Douglas DC-3
 British Columbia,Canadian Pacific Air Lines,1950-12-22,Penticton- British Columbia- Canada,Douglas DC-3
 Alaska,Canadian Pacific Air Lines,1951-07-21,Near Sitka- Alaska,Douglas C-54A
 Pakistan,Canadian Pacific Air Lines,1953-03-03,Karachi- Pakistan,de Havilland DH106 Comet 1A
 BC,Canadian Pacific Air Lines,1953-05-11,Prince Rupert- BC- Canada,Consolidated PBY-5A Catalina
 Alaska,Canadian Pacific Air Lines,1956-08-29,Cold Bay- Alaska,Douglas DC-6B
 Hawaii,Canadian Pacific Air Lines,1962-07-22,Honolulu- Hawaii,Bristol Britannia 314
 British Columbia,Canadian Pacific Air Lines,1965-07-08,Dog Creek- British Columbia- Canada,Douglas DC-6B
 Japan,Canadian Pacific Air Lines,1966-03-04,Near Tokyo- Japan,McDonnell Douglas DC-8-43
 Canada,Canadian Pacific Air Lines,1968-02-07,Vancouver- Canada,Boeing B-707-138B
 Vermont,Canair Cargo,1991-09-18,Belvedere Center- Vermont,Convair CV-580
 Nigeria,Canairelief Air,1969-08-03,Uli - Nigeria,Lockheed L-1049H Super Constellation
 D.C.,Capital Airlines,1949-12-12,Washington- D.C.,Douglas DC-3-313A
 Maryland,Capital Airlines,1957-06-22,Near Clarksburg- Maryland,Douglas C-47A
 Michigan,Capital Airlines,1958-04-06,Freeland- Michigan,Vickers Viscount 745D
 West Virginia,Capital Airlines,1958-06-04,Martinsburg- West Virginia,Douglas DC-3
 Maryland,Capital Airlines,1959-05-12,Chase- Maryland,Vickers Viscount 745D
 West Virginia,Capital Airlines,1959-05-12,Charleston- West Virginia,Lockheed C-69 Constellation
 Virginia,Capital Airlines,1960-01-18,Charles City- Virginia,Vickers Viscount 745D
 Alaska,Capitol Airlines,1970-11-27,Anchorage- Alaska,McDonnell Douglas DC-8-63CF
 Colorado,Capitol Airways,1958-11-16,Fort Collins- Colorado,Curtiss C-46F
 Utah,Capitol Airways,1960-10-15,Plain City- Utah,Curtiss C-46F
 Italy,Caproni Company,1919-08-02,Verona- Italy,Caproni Ca.48
 Bolivia,Carga Aereo Transportada,1985-04-20,Santa Rosa- Bolivia,Convair CV-440
 Mexico,Carga del Caribe,1993-05-15,Near Cancun- Mexico,Douglas DC-6BF
 Colombia,Cargo Three Panama,1993-02-20,Bogota- Colombia,Convair CV-440
 Bangladesh,Cargolux,1970-12-02,Dhaka- Bangladesh,Canadair CL-44J
 Angola,Carib Air Transport,1991-06-10,Luanda- Angola,Lockheed L-382B Hercules
 Peru,Caribbean Airlines,1967-04-02,Off Lima- Peru,Lockheed 18 Lodestar
 Jamaica,Caribbean International Airways,1953-04-10,Off Kingston- Jamaica,Lockheed 18-56 LodeStar
 The Netherlands,Carvair ATL-98,1962-12-28,Rotterdam- The Netherlands,Channel Air Bridge
 Washington,Cascade Airways,1981-01-20,Spokane- Washington,Beechcraft 99A
 Iran,Caspian Airlines,2009-07-15,Near Qazvin- Iran,Tupolev 154M
 Shanghai,CATA,1946-12-25,Kiangwan AFB- Shanghai,Douglas C-47
 Argentina,CATA Linea Aerea,2003-10-26,Buenos Aires- Argentina,Fairchild Hiller FH-227B
 California,Catalina Airlines,1979-04-14,Off Avalon- California,Grumman G-21 Goose
 Yunan,CATC,1944-11-10,Near Kumming- Yunan- China,Lockheed Hudson
,Cathay Pacific Airways,1948-07-16,Pacific Ocean between Hong Kong and Macao,Consolidated OA-10 Catalina
 Hong Kong,Cathay Pacific Airways,1949-02-24,Braemar Resevoir- Hong Kong,Douglas DC-3
 China,Cathay Pacific Airways,1954-07-23,Off Hainan Island- China,Douglas DC-4
 China,Cathay Pacific Airways,1967-11-05,Hong Kong- China,Convair CV-880-22M-3
 South Vietnam,Cathay Pacific Airways,1972-06-15,Near Pleiku- South Vietnam,Convair CV-880-22M-21
 China,Cathy Pacific,1948-06-17,Over the Pearl River- China,PBY Catalina
,CCCP,1923-11-18,Russia,Junkers F-13
 Philippines,Cebu Pacific Air,1998-02-02,Cagyan de Oro- Philippines,McDonnell Douglas DC-9-32
 Missouri,Central Airlines (Universal Aviation Corporation),1930-01-27,Kansas City- Missouri,Travel Air A6000A
 Tanganyika,Central African Airways,1953-03-29,Mtara- Tanganyika,Vickers 616 Viking 1B
 Zimbabwe,Central African Airways,1955-02-23,Salisbury- Zimbabwe,Douglas DC-3
 Libya,Central African Airways,1958-08-09,Benghazi- Libya,Vickers Viscount 748D
 Texas,Central Air Services,1980-11-28,Pecos City- Texas,Douglas DC-7B
 China,Central Air Transport,1946-07-13,Tsinan- China,Curtiss C-46
 China,Central Air Transport,1948-12-05,Kiangwan- China,Curtiss C-46
 New Jersey,Central Airlines,1983-03-30,Newark- New Jersey,Learjet 25
 Honduras,Central American Airways,2011-02-14,Near Santa Ana Francisco Morazan- Honduras,Let L-410 UVPE-20
 British Columbia,Central Mountain Air Services,1983-09-02,Near Smithers- British Columbia- Canada,Britten-Norman BN-2A-21 Islander
 Canada,Central Mountain Air Services,1991-04-04,Lake Thutade- Canada,Douglas C-47B-15-DK
 British Colombia,Central Mountain Air Services,1993-01-14,Near Bronson Creek- British Colombia- Canada,Douglas C-47A
 Colombia,Centurian Air Cargo,2008-07-07,Near Bogota- Colombia,Boeing B-747-209BSF
 Illinois,Century Air Lines,1932-03-08,Saint Louis- Illinois,Stinson SM-6000B
 California,Century Pacific Lines,1932-01-29,Lebec- California,Stinson SM-6000B
 Czechoslovakia,Ceskoslovenske Aerolinie,1930-08-22,Iglau- Czechoslovakia,Ford 5-AT-C Tri Motor
 Czechoslovakia,Ceskoslovenske Aerolinie,1946-03-05,Near Prague- Czechoslovakia,Junkers JU-52/3m
 Greece,Ceskoslovenske Aerolinie,1948-12-21,Near Pilos- Greece,Douglas DC-3
 Czechoslovakia,Ceskoslovenske Aerolinie,1950-02-27,Near Prague- Czechoslovakia,Douglas C-47A-15-DK
 Czechoslovakia,Ceskoslovenske Aerolinie,1956-01-18,Torysa- Czechoslovakia,Douglas DC-3
 Switzerland,Ceskoslovenske Aerolinie,1956-11-24,Near Eglisau- Switzerland,Ilyushin IL-12B
 Czechoslovakia,Ceskoslovenske Aerolinie,1961-01-02,Ruzyne- Czechoslovakia,Avia 14
 Germany,Ceskoslovenske Aerolinie,1961-03-28,Forcheim- Germany,Ilyushin IL-18
 Morocco,Ceskoslovenske Aerolinie,1961-07-12,Casablanca- Morocco,Ilyushin IL-18B
 Czechoslovakia,Ceskoslovenske Aerolinie,1962-09-10,Brno- Czechoslovakia,Avia 14
 Newfoundland,Ceskoslovenske Aerolinie,1967-09-05,Near Gander- Newfoundland- Canada,Ilyushin IL-18
 Czechoslovakia,Ceskoslovenske Aerolinie,1968-10-11,Near Prague- Czechoslovakia,Avia 14-40
 Libya,Ceskoslovenske Aerolinie,1970-06-01,Tripoli- Libya,Tupolev TU-104A
 Syria,Ceskoslovenske Aerolinie,1975-08-20,Near Damascus- Syria,Ilyushin IL-62
 Czechoslovakia,Ceskoslovenske Aerolinie,1976-07-28,Bratislava- Czechoslovakia,Ilyushin IL-18L
 Slovakia,Ceskoslovenské Aerolinie,1954-12-12,Bratislava- Slovakia,Douglas C-47A
 Slovakia,Ceskoslovenské Aerolinie,1977-02-11,Bratislava- Slovakia,Avia 14T
 Colombia,Cessnyca,1974-01-17,Cigorodo- Colombia,Douglas DC-3A
 Florida,Chalk's International Airlines,1994-03-18,Key West- Florida,Grumman G-73T Turbo Mallard
 Florida,Chalk's Ocean Airways,2005-12-19,Off Miami Beach- Florida,Grumman G73T Turbo Mallard
 New York,Chamberlin Flying Service,1935-10-21,Troy- New York,Curtiss AT-32C Condor
 England,Channel Airways,1962-05-06,St. Boniface Down- England,Douglas C-47A
 Channel Islands,Channel Express,1999-01-12,Guernsey- Channel Islands- England,Fokker F-27 Friendship 600
 Washington,Chelan Air Service,2008-05-17,Stehekin- Washington,de Havilland Canada DHC-2 Mark I Beaver
 Russia,Cheremshanka Airlines,1994-09-26,Near Vanavera- Russia,Yakovlev YAK-40
 Illinois,Chicago and Southern Airlines,1935-05-28,Maywood- Illinois,Stinson SM6000B Tri-motor
 Illinois,Chicago and Southern Airlines,1971-10-21,Peoria- Illinois,Beech E18S
 Illinois,Chicago Helicopter Airways,1960-07-27,Forest Park- Illinois,Sikorsky S-58C helicopter
 Missouri,Chicago Southern Airlines,1936-08-05,St. Louis- Missouri,Lockheed 10B Electra
 Illinois,Chicago-Detroit Airways,1931-09-14,Chicago- Illinois,Lockheed Vega
 Japan,China Airlines,2007-08-20,Okinawa- Japan,Boeing 737-809
,China Airlines (Taiwan),1967-10-24,South Vietnam,Douglas DC-3
 Taiwan,China Airlines (Taiwan),1969-01-02,Mt. Paku- Taiwan,Douglas DC-3D
 Taiwan,China Airlines (Taiwan),1970-08-12,Taipei- Taiwan,NAMC YS-11A-219
 Taiwan,China Airlines (Taiwan),1971-11-21,Near Penghu Island- Taiwan,Sud Aviation SE-210 Caravelle III
 Taiwan,China Airlines (Taiwan),1979-09-11,Off Taipei- Taiwan,Boeing 707-324C
 Philippines,China Airlines (Taiwan),1980-02-27,Manila- Philippines,Boeing B-707-309C
 California,China Airlines (Taiwan),1985-02-19,300 nm NW of San Francisco- California,Boeing B-747-SP-09
 Taiwan,China Airlines (Taiwan),1986-02-16,Off Makung- Taiwan,Boeing B-737-281
 China,China Airlines (Taiwan),1989-10-26,Hualien- China,Boeing B-737-209
 Taiwan,China Airlines (Taiwan),1991-12-29,Wanli- Taiwan,Boeing B-747-2R7F
 Aichi,China Airlines (Taiwan),1994-04-26,Near Komaki- Aichi- Japan,Airbus A300B4-622R
 Taiwan,China Airlines (Taiwan),1998-02-16,Taipei- Taiwan,Airbus A300-622R
 China,China Airlines (Taiwan),1999-08-22,Hong Kong- China,McDonnell Douglas MD-11
 Taiwan,China Airlines (Taiwan),2002-05-25,Off Penghu Island- Taiwan,Boeing B-747-209B
 China ,China Eastern Airlines,1989-08-15,Shanghai- China - China,Antonov AN-24RV
 Alaska,China Eastern Airlines,1993-04-06,950 nm S of Shemya- Alaska,McDonnell Douglas MD-11
 China,China Eastern Airlines,1993-10-26,Fuzhou- China,McDonnell Douglas MD-82
 Inner Mongolia,China Eastern Airlines,2004-11-21,Baotou- Inner Mongolia- China,Bombardier CRJ200
 China,China Flying Dragon Aviation (Feilong Airlines),1996-06-21,Shanghai- China,Harbin Yunshuji Y-12-II
 Jiangsu,China General Aviation Corporation,1992-07-31,Nanjing- Jiangsu- China,Yakovlev YAK-42D
 China,China National Aviation Corporation,1930-12-09,Shanghai- China,Loening C-W Air Yaht
 China,China National Aviation Corporation,1931-11-24,Near Tsinan- China,Stinson
 China,China National Aviation Corporation,1933-11-20,Near Tsinan- China,Stinson
 China,China National Aviation Corporation,1934-04-10,Ningpo Bay- China,Sikorsky S-38BB
 China,China National Aviation Corporation,1934-08-10,Ningbo- China,Sikorsky S-38B
 China,China National Aviation Corporation,1935-08-13,Hangow- China,Sikorsky S-38B
 China,China National Aviation Corporation,1936-03-05,Near Tengya- China,Ford 5-AT-D Tri-Motor
 China,China National Aviation Corporation,1936-12-26,Nanking- China,Douglas DC-2
 Bias Bay,China National Aviation Corporation,1937-08-08,Chilang Point- Bias Bay- China,Sikorsky S-43
 China,China National Aviation Corporation,1938-08-24,Wangmoon- China,Douglas DC-2
 China,China National Aviation Corporation,1940-10-29,Near Changyi- China,Douglas DC-2
 China,China National Aviation Corporation,1941-01-20,Near Kian- China,Ford 5-AT Tri-Motor
 China,China National Aviation Corporation,1942-02-19,Zhengzhou-Xinzheng- China,Douglas DC-2
 China,China National Aviation Corporation,1942-03-14,Kunming- China,Douglas DC-2-221
 China,China National Aviation Corporation,1942-10-01,Kunming- China,Douglas C-47
